operation_time,location,company,engine,milage,maintenance_needed
1999,hilly,bharat benz,Mahindra Supro Profit Truck (Mini),21.2 kmpl,0
7834,hilly,eicher motors,Mahindra Supro Profit Truck (Mini),19.71 kmpl,0
1367,rainy,bharat benz,Maruti Suzuki Super Carry,18 kmpl,0
1628,hilly,ashok leyland,Mahindra Jeeto Plus,19.6 kmpl,0
3656,rainy,eicher motors,Ashok Leyland Dost Strong,19.71 kmpl,1
3990,desert,mahindra,Ashok Leyland Dost Strong,19.71 kmpl,0
8938,rainy,ashok leyland,Mahindra Supro Profit Truck (Mini),19.6 kmpl,0
5493,rainy,bharat benz,Ashok Leyland Dost Strong,18 kmpl,0
8892,humid,eicher motors,Mahindra Supro Profit Truck (Mini),22 kmpl,0
8533,rainy,mahindra,Maruti Suzuki Super Carry,19.6 kmpl,0
7613,rainy,ashok leyland,Mahindra Jeeto Plus,19.6 kmpl,0
2712,desert,mahindra,Maruti Suzuki Super Carry,19.6 kmpl,1
7141,humid,bharat benz,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
9655,all,mahindra,Maruti Suzuki Eeco Cargo,21.2 kmpl,0
6335,desert,tata,Maruti Suzuki Eeco Cargo,22 kmpl,1
5586,desert,ashok leyland,Maruti Suzuki Super Carry,18 kmpl,1
7199,all,mahindra,Ashok Leyland Dost Strong,18 kmpl,0
9770,rainy,bharat benz,Mahindra Jeeto Plus,21.2 kmpl,0
875,hilly,bharat benz,Maruti Suzuki Eeco Cargo,19.6 kmpl,0
8326,humid,mahindra,Maruti Suzuki Eeco Cargo,22 kmpl,0
3252,hilly,bharat benz,Maruti Suzuki Eeco Cargo,18 kmpl,0
1685,all,eicher motors,Mahindra Jeeto Plus,18 kmpl,0
4043,desert,eicher motors,Maruti Suzuki Eeco Cargo,19.6 kmpl,0
7655,desert,eicher motors,Mahindra Jeeto Plus,21.2 kmpl,0
3173,humid,tata,Maruti Suzuki Eeco Cargo,22 kmpl,0
1121,desert,mahindra,Maruti Suzuki Super Carry,21.2 kmpl,0
3943,desert,tata,Maruti Suzuki Super Carry,21.2 kmpl,0
8089,humid,bharat benz,Mahindra Jeeto Plus,22 kmpl,0
9792,humid,tata,Maruti Suzuki Super Carry,22 kmpl,0
6973,all,bharat benz,Mahindra Jeeto Plus,18 kmpl,0
5775,desert,bharat benz,Maruti Suzuki Super Carry,18 kmpl,0
261,desert,ashok leyland,Maruti Suzuki Super Carry,22 kmpl,0
4397,all,eicher motors,Mahindra Jeeto Plus,19.71 kmpl,0
1095,rainy,bharat benz,Ashok Leyland Dost Strong,18 kmpl,0
7729,rainy,ashok leyland,Maruti Suzuki Super Carry,19.71 kmpl,1
9567,rainy,eicher motors,Maruti Suzuki Eeco Cargo,22 kmpl,1
1116,all,bharat benz,Ashok Leyland Dost Strong,18 kmpl,0
7969,desert,bharat benz,Mahindra Jeeto Plus,21.2 kmpl,0
6539,all,tata,Ashok Leyland Dost Strong,22 kmpl,0
7992,all,tata,Mahindra Supro Profit Truck (Mini),19.6 kmpl,0
6963,rainy,eicher motors,Mahindra Supro Profit Truck (Mini),19.71 kmpl,0
8016,hilly,bharat benz,Maruti Suzuki Super Carry,22 kmpl,1
8629,desert,mahindra,Maruti Suzuki Super Carry,22 kmpl,0
978,rainy,tata,Maruti Suzuki Eeco Cargo,18 kmpl,0
9368,hilly,eicher motors,Ashok Leyland Dost Strong,18 kmpl,1
4987,hilly,bharat benz,Mahindra Supro Profit Truck (Mini),18 kmpl,1
4959,humid,bharat benz,Maruti Suzuki Super Carry,19.6 kmpl,1
6431,desert,mahindra,Ashok Leyland Dost Strong,18 kmpl,0
8671,hilly,eicher motors,Maruti Suzuki Super Carry,22 kmpl,0
8784,rainy,bharat benz,Maruti Suzuki Super Carry,18 kmpl,0
7308,humid,tata,Mahindra Supro Profit Truck (Mini),21.2 kmpl,0
5376,desert,mahindra,Mahindra Supro Profit Truck (Mini),18 kmpl,0
2162,all,eicher motors,Maruti Suzuki Super Carry,19.6 kmpl,0
164,rainy,mahindra,Mahindra Jeeto Plus,21.2 kmpl,1
8106,hilly,tata,Maruti Suzuki Super Carry,22 kmpl,0
2668,hilly,eicher motors,Maruti Suzuki Super Carry,22 kmpl,0
5563,rainy,mahindra,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
2127,hilly,ashok leyland,Maruti Suzuki Eeco Cargo,21.2 kmpl,0
2795,humid,tata,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
9787,desert,tata,Mahindra Jeeto Plus,21.2 kmpl,0
5358,humid,tata,Mahindra Jeeto Plus,21.2 kmpl,0
5718,hilly,ashok leyland,Maruti Suzuki Super Carry,19.6 kmpl,1
6836,all,ashok leyland,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
491,desert,bharat benz,Mahindra Jeeto Plus,19.6 kmpl,1
5992,desert,mahindra,Mahindra Supro Profit Truck (Mini),21.2 kmpl,0
3661,rainy,bharat benz,Maruti Suzuki Super Carry,22 kmpl,0
6284,rainy,mahindra,Ashok Leyland Dost Strong,21.2 kmpl,0
3199,all,ashok leyland,Maruti Suzuki Super Carry,19.6 kmpl,0
6378,desert,ashok leyland,Ashok Leyland Dost Strong,19.71 kmpl,0
8492,all,bharat benz,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
3204,rainy,eicher motors,Ashok Leyland Dost Strong,19.6 kmpl,1
7315,rainy,bharat benz,Maruti Suzuki Eeco Cargo,19.71 kmpl,1
2554,desert,mahindra,Mahindra Supro Profit Truck (Mini),18 kmpl,0
9096,humid,bharat benz,Ashok Leyland Dost Strong,22 kmpl,1
2831,hilly,tata,Maruti Suzuki Super Carry,22 kmpl,0
8254,rainy,mahindra,Maruti Suzuki Eeco Cargo,22 kmpl,1
9862,rainy,mahindra,Maruti Suzuki Super Carry,19.71 kmpl,0
5156,humid,eicher motors,Mahindra Jeeto Plus,19.71 kmpl,0
8210,humid,ashok leyland,Maruti Suzuki Eeco Cargo,21.2 kmpl,1
3940,all,mahindra,Ashok Leyland Dost Strong,21.2 kmpl,0
1128,all,ashok leyland,Maruti Suzuki Eeco Cargo,22 kmpl,1
7485,hilly,bharat benz,Maruti Suzuki Super Carry,18 kmpl,0
602,hilly,tata,Mahindra Supro Profit Truck (Mini),21.2 kmpl,0
7010,desert,eicher motors,Maruti Suzuki Eeco Cargo,21.2 kmpl,0
9162,all,ashok leyland,Ashok Leyland Dost Strong,19.71 kmpl,0
7038,rainy,mahindra,Mahindra Jeeto Plus,18 kmpl,0
4588,all,ashok leyland,Mahindra Supro Profit Truck (Mini),22 kmpl,1
306,rainy,mahindra,Mahindra Jeeto Plus,21.2 kmpl,0
5234,humid,ashok leyland,Maruti Suzuki Eeco Cargo,18 kmpl,1
6077,all,mahindra,Maruti Suzuki Super Carry,18 kmpl,1
7821,humid,bharat benz,Maruti Suzuki Super Carry,22 kmpl,0
7135,hilly,mahindra,Ashok Leyland Dost Strong,18 kmpl,1
1584,hilly,mahindra,Maruti Suzuki Super Carry,18 kmpl,1
7958,desert,tata,Mahindra Supro Profit Truck (Mini),18 kmpl,1
963,all,mahindra,Maruti Suzuki Super Carry,21.2 kmpl,1
2890,humid,tata,Ashok Leyland Dost Strong,22 kmpl,1
7508,rainy,eicher motors,Maruti Suzuki Eeco Cargo,18 kmpl,0
8855,hilly,tata,Maruti Suzuki Eeco Cargo,18 kmpl,0
5216,hilly,bharat benz,Maruti Suzuki Super Carry,21.2 kmpl,1
6119,rainy,tata,Mahindra Jeeto Plus,22 kmpl,0
1857,humid,eicher motors,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
7674,humid,bharat benz,Maruti Suzuki Super Carry,21.2 kmpl,0
6474,all,ashok leyland,Ashok Leyland Dost Strong,22 kmpl,1
6992,all,ashok leyland,Maruti Suzuki Super Carry,18 kmpl,0
1778,desert,tata,Maruti Suzuki Eeco Cargo,22 kmpl,1
3342,hilly,tata,Ashok Leyland Dost Strong,22 kmpl,0
4736,all,eicher motors,Maruti Suzuki Super Carry,22 kmpl,0
1159,humid,eicher motors,Mahindra Supro Profit Truck (Mini),19.71 kmpl,0
6768,rainy,mahindra,Ashok Leyland Dost Strong,22 kmpl,0
3257,humid,eicher motors,Mahindra Supro Profit Truck (Mini),19.71 kmpl,0
6015,hilly,mahindra,Mahindra Jeeto Plus,18 kmpl,1
9889,humid,bharat benz,Ashok Leyland Dost Strong,19.71 kmpl,1
2793,desert,tata,Mahindra Supro Profit Truck (Mini),18 kmpl,0
3727,hilly,bharat benz,Maruti Suzuki Eeco Cargo,18 kmpl,0
9655,rainy,eicher motors,Maruti Suzuki Eeco Cargo,19.71 kmpl,1
5550,desert,bharat benz,Mahindra Jeeto Plus,21.2 kmpl,1
1763,hilly,bharat benz,Ashok Leyland Dost Strong,19.6 kmpl,0
9821,rainy,bharat benz,Ashok Leyland Dost Strong,22 kmpl,0
5692,desert,eicher motors,Ashok Leyland Dost Strong,19.6 kmpl,0
7492,desert,bharat benz,Mahindra Jeeto Plus,22 kmpl,1
1406,hilly,mahindra,Ashok Leyland Dost Strong,22 kmpl,0
6876,all,eicher motors,Maruti Suzuki Eeco Cargo,18 kmpl,0
5964,desert,bharat benz,Mahindra Supro Profit Truck (Mini),22 kmpl,0
9574,desert,eicher motors,Maruti Suzuki Eeco Cargo,22 kmpl,1
7626,rainy,ashok leyland,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
9001,humid,mahindra,Mahindra Supro Profit Truck (Mini),19.6 kmpl,0
5675,hilly,bharat benz,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
5630,hilly,ashok leyland,Mahindra Jeeto Plus,22 kmpl,0
4513,all,ashok leyland,Mahindra Supro Profit Truck (Mini),18 kmpl,0
3848,all,eicher motors,Maruti Suzuki Eeco Cargo,19.71 kmpl,1
763,hilly,ashok leyland,Maruti Suzuki Super Carry,19.71 kmpl,1
2098,all,mahindra,Maruti Suzuki Eeco Cargo,21.2 kmpl,1
8094,rainy,mahindra,Mahindra Jeeto Plus,22 kmpl,1
1595,hilly,tata,Ashok Leyland Dost Strong,18 kmpl,0
3404,all,mahindra,Maruti Suzuki Eeco Cargo,19.71 kmpl,1
3863,hilly,ashok leyland,Ashok Leyland Dost Strong,19.71 kmpl,0
5332,humid,mahindra,Maruti Suzuki Super Carry,18 kmpl,0
1953,desert,eicher motors,Maruti Suzuki Eeco Cargo,22 kmpl,1
6685,hilly,tata,Mahindra Supro Profit Truck (Mini),21.2 kmpl,0
1391,desert,ashok leyland,Ashok Leyland Dost Strong,19.71 kmpl,0
3681,all,tata,Maruti Suzuki Super Carry,21.2 kmpl,0
7654,desert,ashok leyland,Mahindra Supro Profit Truck (Mini),19.6 kmpl,0
7380,hilly,eicher motors,Mahindra Supro Profit Truck (Mini),22 kmpl,0
1736,humid,tata,Mahindra Supro Profit Truck (Mini),19.6 kmpl,1
3796,all,bharat benz,Mahindra Supro Profit Truck (Mini),19.6 kmpl,1
798,hilly,ashok leyland,Maruti Suzuki Eeco Cargo,19.6 kmpl,0
4837,all,bharat benz,Maruti Suzuki Eeco Cargo,22 kmpl,0
954,rainy,tata,Maruti Suzuki Eeco Cargo,22 kmpl,0
8264,desert,bharat benz,Maruti Suzuki Super Carry,18 kmpl,1
5955,rainy,bharat benz,Maruti Suzuki Super Carry,21.2 kmpl,0
7492,hilly,tata,Maruti Suzuki Super Carry,21.2 kmpl,0
6628,humid,eicher motors,Mahindra Jeeto Plus,18 kmpl,0
5349,all,bharat benz,Maruti Suzuki Super Carry,18 kmpl,0
5272,desert,bharat benz,Maruti Suzuki Eeco Cargo,19.6 kmpl,0
1807,all,eicher motors,Maruti Suzuki Eeco Cargo,18 kmpl,1
5891,hilly,bharat benz,Mahindra Jeeto Plus,19.71 kmpl,0
5635,all,bharat benz,Mahindra Jeeto Plus,21.2 kmpl,0
5031,desert,bharat benz,Maruti Suzuki Super Carry,18 kmpl,0
3610,hilly,mahindra,Ashok Leyland Dost Strong,19.71 kmpl,1
302,all,eicher motors,Mahindra Jeeto Plus,19.71 kmpl,0
4318,humid,bharat benz,Mahindra Supro Profit Truck (Mini),19.71 kmpl,0
9058,hilly,eicher motors,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
4489,hilly,ashok leyland,Mahindra Supro Profit Truck (Mini),19.6 kmpl,0
2427,humid,ashok leyland,Maruti Suzuki Eeco Cargo,19.71 kmpl,1
8104,rainy,bharat benz,Maruti Suzuki Eeco Cargo,19.6 kmpl,0
3031,desert,eicher motors,Mahindra Jeeto Plus,19.6 kmpl,1
7877,rainy,eicher motors,Mahindra Jeeto Plus,19.71 kmpl,0
297,all,eicher motors,Mahindra Supro Profit Truck (Mini),21.2 kmpl,1
7225,humid,mahindra,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
2030,rainy,ashok leyland,Mahindra Supro Profit Truck (Mini),19.71 kmpl,1
6387,hilly,eicher motors,Ashok Leyland Dost Strong,19.71 kmpl,0
8900,all,eicher motors,Mahindra Supro Profit Truck (Mini),21.2 kmpl,0
9439,all,mahindra,Maruti Suzuki Super Carry,22 kmpl,1
4382,rainy,mahindra,Mahindra Supro Profit Truck (Mini),22 kmpl,0
2611,rainy,eicher motors,Maruti Suzuki Super Carry,19.6 kmpl,0
759,humid,tata,Maruti Suzuki Super Carry,19.6 kmpl,0
2911,desert,eicher motors,Maruti Suzuki Super Carry,21.2 kmpl,0
7198,rainy,eicher motors,Ashok Leyland Dost Strong,18 kmpl,0
6646,rainy,mahindra,Mahindra Supro Profit Truck (Mini),22 kmpl,0
9661,hilly,mahindra,Mahindra Supro Profit Truck (Mini),19.6 kmpl,0
2086,all,eicher motors,Ashok Leyland Dost Strong,22 kmpl,1
8438,desert,eicher motors,Maruti Suzuki Eeco Cargo,21.2 kmpl,0
3011,hilly,eicher motors,Mahindra Jeeto Plus,21.2 kmpl,1
1834,humid,mahindra,Mahindra Supro Profit Truck (Mini),18 kmpl,1
1943,humid,eicher motors,Mahindra Jeeto Plus,18 kmpl,0
8780,rainy,eicher motors,Ashok Leyland Dost Strong,21.2 kmpl,0
3076,rainy,bharat benz,Maruti Suzuki Eeco Cargo,19.6 kmpl,0
2059,humid,tata,Maruti Suzuki Eeco Cargo,22 kmpl,0
5859,rainy,ashok leyland,Maruti Suzuki Eeco Cargo,19.71 kmpl,1
6794,desert,tata,Ashok Leyland Dost Strong,18 kmpl,0
2485,rainy,bharat benz,Maruti Suzuki Super Carry,19.71 kmpl,0
4836,all,ashok leyland,Maruti Suzuki Super Carry,19.6 kmpl,0
1902,rainy,eicher motors,Mahindra Jeeto Plus,18 kmpl,0
8255,hilly,bharat benz,Maruti Suzuki Super Carry,19.71 kmpl,0
8220,desert,eicher motors,Maruti Suzuki Super Carry,19.6 kmpl,0
6716,hilly,mahindra,Maruti Suzuki Eeco Cargo,22 kmpl,1
5634,hilly,bharat benz,Maruti Suzuki Eeco Cargo,19.6 kmpl,0
4161,all,mahindra,Mahindra Jeeto Plus,18 kmpl,0
362,desert,bharat benz,Mahindra Supro Profit Truck (Mini),21.2 kmpl,1
6387,desert,bharat benz,Mahindra Jeeto Plus,22 kmpl,0
8915,desert,mahindra,Mahindra Jeeto Plus,19.71 kmpl,1
9308,desert,ashok leyland,Ashok Leyland Dost Strong,18 kmpl,1
2149,desert,tata,Ashok Leyland Dost Strong,21.2 kmpl,1
5523,all,eicher motors,Mahindra Jeeto Plus,19.6 kmpl,1
4648,rainy,bharat benz,Mahindra Jeeto Plus,21.2 kmpl,0
3208,hilly,eicher motors,Mahindra Jeeto Plus,18 kmpl,1
7258,desert,mahindra,Maruti Suzuki Super Carry,18 kmpl,0
7500,rainy,eicher motors,Ashok Leyland Dost Strong,21.2 kmpl,1
3270,rainy,mahindra,Mahindra Jeeto Plus,19.6 kmpl,1
9974,hilly,eicher motors,Maruti Suzuki Eeco Cargo,21.2 kmpl,1
2355,all,tata,Maruti Suzuki Eeco Cargo,18 kmpl,1
1254,humid,tata,Maruti Suzuki Super Carry,18 kmpl,0
4599,humid,tata,Maruti Suzuki Super Carry,19.71 kmpl,1
6395,rainy,tata,Mahindra Supro Profit Truck (Mini),19.71 kmpl,0
6297,hilly,tata,Mahindra Supro Profit Truck (Mini),22 kmpl,1
9988,humid,tata,Mahindra Supro Profit Truck (Mini),18 kmpl,0
1748,rainy,mahindra,Maruti Suzuki Super Carry,19.71 kmpl,0
5639,all,bharat benz,Maruti Suzuki Super Carry,21.2 kmpl,0
9737,humid,eicher motors,Maruti Suzuki Super Carry,19.6 kmpl,0
4299,rainy,tata,Maruti Suzuki Eeco Cargo,21.2 kmpl,1
8545,rainy,mahindra,Maruti Suzuki Super Carry,19.6 kmpl,0
2657,desert,mahindra,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
5692,all,mahindra,Mahindra Supro Profit Truck (Mini),22 kmpl,0
198,desert,bharat benz,Mahindra Supro Profit Truck (Mini),21.2 kmpl,1
2300,hilly,eicher motors,Mahindra Supro Profit Truck (Mini),21.2 kmpl,0
3061,desert,bharat benz,Mahindra Jeeto Plus,21.2 kmpl,0
5073,desert,ashok leyland,Mahindra Jeeto Plus,19.6 kmpl,0
4533,humid,mahindra,Ashok Leyland Dost Strong,19.71 kmpl,0
2969,rainy,ashok leyland,Ashok Leyland Dost Strong,21.2 kmpl,0
1056,all,tata,Ashok Leyland Dost Strong,21.2 kmpl,0
8452,desert,tata,Mahindra Jeeto Plus,22 kmpl,0
5799,all,bharat benz,Mahindra Jeeto Plus,22 kmpl,1
7044,desert,eicher motors,Ashok Leyland Dost Strong,19.71 kmpl,1
4593,hilly,ashok leyland,Ashok Leyland Dost Strong,19.71 kmpl,0
9592,desert,eicher motors,Maruti Suzuki Super Carry,18 kmpl,1
5011,humid,bharat benz,Ashok Leyland Dost Strong,22 kmpl,0
4087,rainy,tata,Maruti Suzuki Super Carry,18 kmpl,0
9819,hilly,eicher motors,Maruti Suzuki Eeco Cargo,19.6 kmpl,0
6115,desert,eicher motors,Mahindra Jeeto Plus,18 kmpl,0
1318,all,tata,Ashok Leyland Dost Strong,21.2 kmpl,0
4596,hilly,ashok leyland,Mahindra Jeeto Plus,18 kmpl,0
4835,hilly,tata,Mahindra Jeeto Plus,19.71 kmpl,0
4655,desert,eicher motors,Mahindra Jeeto Plus,19.6 kmpl,1
9246,hilly,ashok leyland,Maruti Suzuki Eeco Cargo,21.2 kmpl,0
8150,all,ashok leyland,Mahindra Supro Profit Truck (Mini),18 kmpl,0
3546,hilly,tata,Ashok Leyland Dost Strong,19.6 kmpl,0
1145,all,eicher motors,Mahindra Supro Profit Truck (Mini),19.6 kmpl,0
6993,desert,bharat benz,Mahindra Supro Profit Truck (Mini),21.2 kmpl,0
1793,rainy,eicher motors,Mahindra Supro Profit Truck (Mini),18 kmpl,0
3536,hilly,mahindra,Mahindra Jeeto Plus,19.6 kmpl,1
8854,rainy,bharat benz,Maruti Suzuki Super Carry,19.6 kmpl,0
5995,all,ashok leyland,Mahindra Jeeto Plus,22 kmpl,0
3454,hilly,bharat benz,Mahindra Jeeto Plus,19.6 kmpl,0
325,humid,ashok leyland,Mahindra Supro Profit Truck (Mini),22 kmpl,0
4993,rainy,ashok leyland,Mahindra Jeeto Plus,18 kmpl,0
7122,hilly,bharat benz,Mahindra Supro Profit Truck (Mini),18 kmpl,0
9251,rainy,ashok leyland,Maruti Suzuki Super Carry,18 kmpl,0
5700,hilly,ashok leyland,Ashok Leyland Dost Strong,19.71 kmpl,0
8096,desert,mahindra,Mahindra Supro Profit Truck (Mini),18 kmpl,0
9107,rainy,eicher motors,Maruti Suzuki Super Carry,19.6 kmpl,0
7783,humid,eicher motors,Ashok Leyland Dost Strong,21.2 kmpl,0
4742,humid,mahindra,Maruti Suzuki Eeco Cargo,22 kmpl,0
7779,all,bharat benz,Mahindra Supro Profit Truck (Mini),19.71 kmpl,0
8308,hilly,tata,Mahindra Supro Profit Truck (Mini),18 kmpl,0
7439,rainy,tata,Maruti Suzuki Eeco Cargo,18 kmpl,0
9535,all,tata,Maruti Suzuki Eeco Cargo,21.2 kmpl,0
2305,rainy,mahindra,Mahindra Supro Profit Truck (Mini),21.2 kmpl,0
1169,hilly,mahindra,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
3544,humid,ashok leyland,Mahindra Jeeto Plus,22 kmpl,1
1160,desert,tata,Ashok Leyland Dost Strong,18 kmpl,0
2427,humid,bharat benz,Ashok Leyland Dost Strong,19.71 kmpl,1
3520,all,bharat benz,Ashok Leyland Dost Strong,19.6 kmpl,0
401,desert,tata,Mahindra Jeeto Plus,19.6 kmpl,0
706,all,tata,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
3270,hilly,tata,Maruti Suzuki Super Carry,18 kmpl,0
799,desert,mahindra,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
5188,all,mahindra,Mahindra Supro Profit Truck (Mini),18 kmpl,0
9431,hilly,mahindra,Ashok Leyland Dost Strong,21.2 kmpl,0
290,humid,eicher motors,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
1080,hilly,bharat benz,Maruti Suzuki Super Carry,18 kmpl,1
3075,rainy,bharat benz,Mahindra Supro Profit Truck (Mini),19.71 kmpl,1
6202,hilly,ashok leyland,Mahindra Jeeto Plus,19.71 kmpl,0
1284,hilly,mahindra,Mahindra Jeeto Plus,18 kmpl,0
3427,rainy,eicher motors,Maruti Suzuki Super Carry,18 kmpl,0
3494,all,eicher motors,Mahindra Supro Profit Truck (Mini),22 kmpl,0
8419,all,bharat benz,Ashok Leyland Dost Strong,19.71 kmpl,0
1916,hilly,mahindra,Maruti Suzuki Eeco Cargo,19.6 kmpl,1
5954,rainy,ashok leyland,Mahindra Supro Profit Truck (Mini),19.71 kmpl,0
6809,rainy,mahindra,Mahindra Jeeto Plus,19.71 kmpl,0
669,humid,tata,Maruti Suzuki Super Carry,18 kmpl,0
5542,all,mahindra,Maruti Suzuki Super Carry,19.71 kmpl,1
1995,desert,tata,Maruti Suzuki Eeco Cargo,19.71 kmpl,0
2833,all,tata,Maruti Suzuki Super Carry,19.6 kmpl,0
3963,all,ashok leyland,Maruti Suzuki Super Carry,18 kmpl,1
7555,humid,bharat benz,Mahindra Supro Profit Truck (Mini),19.71 kmpl,0
4114,desert,mahindra,Ashok Leyland Dost Strong,21.2 kmpl,1
1786,humid,tata,Maruti Suzuki Eeco Cargo,22 kmpl,0
3109,desert,mahindra,Mahindra Supro Profit Truck (Mini),19.6 kmpl,1
7906,hilly,bharat benz,Ashok Leyland Dost Strong,19.71 kmpl,0
254,desert,bharat benz,Mahindra Supro Profit Truck (Mini),21.2 kmpl,0
1509,humid,eicher motors,Mahindra Supro Profit Truck (Mini),19.71 kmpl,1
884,all,bharat benz,Maruti Suzuki Super Carry,19.71 kmpl,0
8196,desert,ashok leyland,Ashok Leyland Dost Strong,18 kmpl,0
7660,desert,tata,Maruti Suzuki Eeco Cargo,18 kmpl,0
7443,rainy,eicher motors,Maruti Suzuki Eeco Cargo,18 kmpl,0
7306,all,ashok leyland,Ashok Leyland Dost Strong,21.2 kmpl,0
5696,hilly,mahindra,Maruti Suzuki Super Carry,19.71 kmpl,0
5901,humid,tata,Mahindra Jeeto Plus,22 kmpl,0
2906,hilly,bharat benz,Mahindra Supro Profit Truck (Mini),19.6 kmpl,0
637,all,tata,Maruti Suzuki Super Carry,18 kmpl,0
6086,desert,mahindra,Ashok Leyland Dost Strong,18 kmpl,0
1941,desert,eicher motors,Mahindra Supro Profit Truck (Mini),19.71 kmpl,1
8816,all,eicher motors,Maruti Suzuki Eeco Cargo,19.71 kmpl,1
7071,desert,eicher motors,Mahindra Jeeto Plus,21.2 kmpl,1
5725,desert,bharat benz,Maruti Suzuki Eeco Cargo,21.2 kmpl,0
3050,desert,ashok leyland,Ashok Leyland Dost Strong,18 kmpl,0
8092,humid,ashok leyland,Mahindra Supro Profit Truck (Mini),19.71 kmpl,0
4880,humid,tata,Ashok Leyland Dost Strong,22 kmpl,0
2468,rainy,bharat benz,Mahindra Supro Profit Truck (Mini),19.6 kmpl,0
6755,hilly,eicher motors,Maruti Suzuki Super Carry,19.71 kmpl,0
8273,all,eicher motors,Mahindra Jeeto Plus,19.71 kmpl,0
4595,all,mahindra,Maruti Suzuki Super Carry,21.2 kmpl,1
9263,all,mahindra,Maruti Suzuki Super Carry,19.6 kmpl,0
6102,rainy,eicher motors,Ashok Leyland Dost Strong,18 kmpl,0
6714,humid,eicher motors,Mahindra Jeeto Plus,19.71 kmpl,0
9458,rainy,bharat benz,Mahindra Supro Profit Truck (Mini),18 kmpl,0
6019,all,ashok leyland,Mahindra Supro Profit Truck (Mini),19.71 kmpl,1
953,hilly,mahindra,Maruti Suzuki Eeco Cargo,18 kmpl,0
4246,desert,ashok leyland,Mahindra Supro Profit Truck (Mini),19.6 kmpl,0
3869,humid,bharat benz,Ashok Leyland Dost Strong,21.2 kmpl,0
674,humid,eicher motors,Maruti Suzuki Super Carry,19.6 kmpl,0
1248,rainy,ashok leyland,Maruti Suzuki Super Carry,22 kmpl,0
6393,humid,eicher motors,Maruti Suzuki Super Carry,21.2 kmpl,1
6557,all,eicher motors,Mahindra Jeeto Plus,19.6 kmpl,1
7609,all,tata,Mahindra Supro Profit Truck (Mini),22 kmpl,1
